_id,id,name,description,flash_time,flash_yellow,operation_type,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
16,579431089,TS113,Bennett St - Oakwood St,,BENNETT ST,Fixed,East Hills,9,13,42003130400,2,13,5,3-17,40.45403452,-79.88565164
17,1159606674,TS114,Benton Ave - Brighton  Rd (OSM),24 Hr stop and go,BRIGHTON RD,Fixed / Ped Actuated,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48431934,-80.03582337
18,2023927709,TS115,Bigelow Blvd - Bloomfield Brg,24 Hr stop and go,BIGELOW BLVD,Fully Actuated,North Oakland,6,5,42003060500,3,5,2,2-24,40.45864166,-79.95734231
19,34205616,TS116,Bigelow Blvd - Centre Ave,24 Hr stop and go,CENTRE AVE,Semi Actuated,North Oakland,8,5,42003562000,3,5,2,2-23,40.45098373,-79.95490677
20,1668969701,TS117,Bigelow Blvd - Chatham Sq,24 Hr stop and go,BIGELOW BLVD,Fixed,Central Business District,6,2,42003020100,6,2,2,2-4,40.44105999,-79.99379635
21,2113803900,TS118,Bigelow Blvd - Craig St,24 Hr stop and go,,Fully Actuated,North Oakland,6,5,42003562000,3,5,4,2-23,40.45701847,-79.95520067
22,2140540832,TS119,Bigelow Blvd - Fifth Ave,24 Hr stop and go,FIFTH AVE,Fixed,North Oakland,8,4,42003982200,3,4,4,2-7,40.44442608,-79.95477868
23,1047157777,TS120,Bigelow Blvd - Forbes Ave,24 Hr stop and go,FORBES AVE,Fixed,Central Oakland,3,4,42003040500,3,4,4,2-7,40.44317877,-79.95354911
24,1355502213,TS121,Grant St - Oliver Ave,24 Hr stop and go,GRANT ST,Fixed,Central Business District,6,2,42003020100,6,2,2,1-4,40.44011738,-79.99634491
25,184546041,TS122,Bigelow Blvd - Herron Ave,24 Hr stop and go,BIGELOW BLVD,Fully Actuated,Polish Hill,7,6,42003060500,3,6,2,2-24,40.45574066,-79.96586173
26,828937106,TS123,Bigelow Blvd - O'Hara St - Parkman Ave,24 Hr stop and go,,Semi Actuated,North Oakland,8,4,42003562000,3,4,4,2-7,40.44571123,-79.95638322
27,1167672234,TS125,Bingham St - S 10th St,03:00 - 06:00,S 10TH ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42942257,-79.98861234
28,748144809,TS126,Black St - Chislett St,24 Hr stop and go,BLACK ST,Fixed,Garfield,9,11,42003111300,2,11,5,3-4,40.46967382,-79.9300943
29,1768891284,TS127,Black St - Negley Ave,24 Hr stop and go,N NEGLEY AVE,Master,East Liberty,9,11,42003111300,2,11,5,3-8,40.46875811,-79.92752058
30,2106555654,TS128,Blackadore Ave - Frankstown Ave,24 Hr stop and go,FRANKSTOWN AVE,Fixed,Homewood North,9,13,42003130100,2,13,5,3-17,40.45545896,-79.88336704
31,98755868,TS129,Bloomfield Brg - Liberty Ave,24 Hr stop and go,,Fully Actuated,Bloomfield,7,9,42003090300,2,9,5,3-6,40.46362239,-79.95282909
